user_id,watch_time_hours,avg_session_mins,sessions_per_week,completion_rate,weekend_usage_ratio,genre_diversity,top_genres
USR-00034,7.78,17.5,4,0.598,0.412,2,Comedy|Family
USR-00035,26.41,56.2,10,0.519,0.357,6,Family|Documentary|Drama|Comedy|Thriller|Animation
USR-00036,37.15,75.8,10,0.734,0.42,3,Sci-Fi|Thriller|Action
USR-00037,45.52,119.8,10,0.812,0.315,2,Sci-Fi|Action
USR-00038,36.12,47.7,8,0.843,0.4,7,Comedy|Animation|Drama|Thriller|Family|Sci-Fi|Romance
USR-00039,7.51,17.6,5,0.656,0.476,5,Comedy|Family|Drama|Animation
USR-00040,9.34,52.6,3,0.432,0.708,2,Drama|Comedy
USR-00041,13.56,28.9,4,0.562,0.471,2,Drama|Animation
USR-00042,2.49,45.3,3,0.386,0.747,2,Comedy|Drama
USR-00043,8.44,52.5,1,0.539,0.784,3,Family|Comedy|Drama
USR-00044,17.01,29.5,3,0.452,0.363,5,Animation|Drama|Family|Comedy
USR-00045,8.67,37.4,3,0.486,0.552,2,Drama|Comedy
USR-00046,8.91,33.1,3,0.408,0.606,2,Drama|Family
USR-00047,11.97,39.1,4,0.787,0.649,5,Comedy|Animation|Drama|Family
USR-00048,6.31,35.3,3,0.619,0.548,4,Comedy|Drama|Animation|Family
USR-00049,4.76,24.1,2,0.618,0.843,1,Family
USR-00050,41.08,113.7,7,0.846,0.343,2,Action|Sci-Fi
USR-00051,48.37,88.8,8,0.873,0.258,3,Action|Sci-Fi|Thriller
USR-00052,37.79,79.4,8,0.796,0.269,3,Sci-Fi|Action|Thriller
USR-00053,9.77,22.8,3,0.561,0.855,3,Drama|Family|Comedy
USR-00054,1.32,38.7,2,0.697,0.886,2,Family|Drama
USR-00055,3.72,51.6,2,0.674,0.843,1,Drama
USR-00056,1.54,49.2,1,0.362,0.737,1,Drama
USR-00057,31.35,57.9,9,0.522,0.541,6,Sci-Fi|Comedy|Romance|Thriller|Documentary|Family
USR-00058,34.16,77.4,10,0.842,0.503,6,Drama|Documentary|Comedy|Action|Family|Romance
USR-00059,54.44,105.2,13,0.828,0.327,3,Thriller|Sci-Fi|Action
USR-00060,36.8,73.9,11,0.825,0.436,4,Thriller|Sci-Fi|Action
USR-00061,2.42,27.2,1,0.387,0.731,3,Family|Comedy|Drama
USR-00062,24.73,42.2,7,0.522,0.309,5,Action|Documentary|Drama|Animation|Comedy
USR-00063,36.01,67.8,6,0.802,0.535,5,Thriller|Comedy|Drama|Action|Romance
USR-00064,4.4,47.0,1,0.373,0.662,2,Comedy|Family
USR-00065,28.7,50.3,9,0.753,0.301,7,Drama|Romance|Documentary|Action|Comedy|Animation|Family
USR-00066,39.9,61.9,8,0.648,0.27,6,Family|Sci-Fi|Animation|Thriller|Comedy|Romance
USR-00067,37.94,61.4,7,0.521,0.497,7,Animation|Romance|Thriller|Drama|Sci-Fi|Documentary|Comedy
USR-00068,13.61,31.8,6,0.58,0.499,5,Family|Animation|Comedy|Drama
USR-00069,44.19,80.8,11,0.737,0.29,4,Sci-Fi|Thriller|Action
USR-00070,16.63,21.8,4,0.785,0.404,2,Family|Comedy
USR-00071,11.88,37.1,3,0.716,0.598,5,Comedy|Drama|Animation|Family
USR-00072,8.55,22.7,2,0.495,0.543,5,Drama|Comedy|Family|Animation
USR-00073,30.72,90.8,8,0.784,0.496,1,Drama
USR-00074,9.69,19.4,3,0.587,0.434,3,Drama|Comedy|Animation
USR-00075,37.62,91.9,9,0.785,0.324,4,Thriller|Action|Sci-Fi
USR-00076,11.47,31.1,6,0.754,0.7,3,Animation|Drama|Family
USR-00077,15.29,26.5,5,0.456,0.517,2,Family|Animation
USR-00078,6.11,39.3,2,0.635,0.588,3,Comedy|Family|Drama
USR-00079,39.9,79.3,10,0.811,0.344,5,Thriller|Comedy|Family|Sci-Fi|Romance
USR-00080,6.01,30.4,1,0.378,0.57,1,Comedy
USR-00081,4.63,49.2,3,0.573,0.617,3,Family|Comedy|Drama
USR-00082,16.87,18.5,3,0.687,0.635,3,Comedy|Animation|Drama
USR-00083,3.38,35.0,3,0.401,0.822,2,Comedy|Drama
USR-00084,51.7,80.7,10,0.701,0.364,3,Thriller|Sci-Fi|Action
USR-00085,45.38,110.5,8,0.725,0.329,3,Sci-Fi|Action|Thriller
USR-00086,38.91,90.5,8,0.834,0.422,3,
USR-00087,4.71,34.1,3,0.669,0.636,3,Family|Comedy|Drama
USR-00088,29.36,49.0,5,0.565,0.389,5,Animation|Thriller|Sci-Fi|Documentary|Romance
USR-00089,40.48,82.7,9,0.964,0.33,2,Action|Thriller
USR-00090,27.98,41.6,10,0.557,0.442,6,Documentary|Thriller|Drama|Comedy|Action|Sci-Fi
USR-00091,36.01,113.4,11,0.873,0.402,2,Action|Thriller
USR-00092,9.45,45.5,3,0.476,0.857,1,Comedy
USR-00093,14.68,35.5,2,0.551,0.391,4,Comedy|Animation|Family|Drama
USR-00094,12.57,24.9,6,0.77,0.436,5,Family|Animation|Comedy|Drama
USR-00095,7.45,34.9,4,0.703,0.671,5,Comedy|Drama|Family|Animation
USR-00096,29.48,84.4,6,0.644,0.513,5,Sci-Fi|Action|Romance|Drama|Thriller
USR-00097,8.92,34.3,6,0.568,0.562,3,Drama|Animation|Family
USR-00098,39.4,105.6,9,0.839,0.261,3,Action|Thriller|Sci-Fi
USR-00099,35.62,89.8,10,0.714,0.4,4,Action|Sci-Fi|Thriller
USR-00100,30.68,94.3,5,0.809,0.484,1,Thriller
USR-00101,21.92,51.4,5,0.938,0.463,1,Romance
USR-00102,7.7,38.6,1,0.48,0.774,2,Drama|Family
USR-00103,15.55,23.7,6,0.653,0.399,3,Animation|Comedy|Family
USR-00104,23.65,58.5,5,0.677,0.286,1,Romance
USR-00105,9.91,22.6,1,0.353,0.84,3,Comedy|Family|Drama
USR-00106,8.94,42.3,2,0.509,0.799,2,Drama|Family
USR-00107,11.08,19.2,4,0.541,0.404,5,Animation|Comedy|Drama|Family
USR-00108,13.92,36.4,6,0.718,0.458,2,Comedy|Drama
USR-00109,53.2,84.8,12,0.859,0.308,3,Sci-Fi|Action|Thriller
USR-00110,28.6,56.8,7,0.858,0.452,2,Thriller|Romance
USR-00111,28.94,58.4,7,0.578,0.382,5,Romance|Family|Thriller|Sci-Fi|Documentary
USR-00112,11.14,27.5,5,0.667,0.675,5,Comedy|Family|Animation|Drama
USR-00113,5.93,27.9,5,0.619,0.673,3,Comedy|Animation|Family
USR-00114,29.01,48.1,7,,0.25,5,Comedy|Family|Drama|Romance|Documentary
USR-00115,38.09,117.1,11,0.747,0.375,2,Action|Thriller
USR-00116,25.01,88.0,4,0.922,0.4,1,Drama
USR-00117,8.65,55.0,3,0.39,0.65,2,Drama|Family
USR-00118,6.24,54.8,1,0.511,0.774,3,Family|Drama|Comedy
USR-00119,7.65,28.2,5,0.556,0.504,5,Comedy|Animation|Drama|Family
USR-00120,35.97,52.1,5,0.692,0.418,6,Drama|Action|Comedy|Animation|Family|Documentary
USR-00121,22.54,48.5,6,0.798,0.384,5,Action|Documentary|Sci-Fi|Family|Thriller
USR-00122,23.54,69.5,10,0.523,0.266,6,Action|Documentary|Comedy|Family|Animation|Drama
USR-00123,43.86,73.6,10,0.925,0.429,2,Thriller|Action
USR-00124,16.75,28.7,5,0.521,0.581,2,Drama|Comedy
USR-00125,54.06,94.7,11,0.784,0.345,4,Sci-Fi|Thriller|Action
USR-00126,27.04,72.0,5,0.506,0.382,7,Documentary|Sci-Fi|Drama|Family|Thriller|Romance|Action
USR-00127,12.84,21.1,2,0.528,0.509,2,Animation|Comedy
USR-00128,51.49,116.3,8,0.756,0.436,3,Action|Thriller|Sci-Fi
USR-00129,35.24,108.2,14,0.972,0.431,2,Thriller|Action
USR-00130,21.56,78.2,5,0.715,0.375,7,Sci-Fi|Comedy|Family|Animation|Action|Romance|Thriller
USR-00131,45.2,85.6,10,0.971,0.397,2,Sci-Fi|Action
USR-00132,21.73,73.2,7,0.87,0.315,3,Thriller|Drama|Romance
USR-00133,37.03,50.9,8,0.824,0.327,7,Drama|Family|Comedy|Thriller|Sci-Fi|Romance|Action
USR-00134,11.18,33.8,2,0.55,0.467,2,Drama|Family
USR-00135,36.85,60.1,9,0.728,0.285,8,Animation|Family|Documentary|Drama|Romance|Action|Thriller|Comedy
USR-00136,43.82,90.7,8,0.846,0.306,3,Sci-Fi|Action|Thriller
USR-00137,29.07,55.4,6,0.654,0.324,2,Thriller|Drama
USR-00138,36.21,57.0,10,0.708,0.257,7,Comedy|Documentary|Drama|Romance|Sci-Fi|Animation|Thriller
USR-00139,6.41,46.7,1,0.414,0.826,2,Comedy|Family
USR-00140,54.62,72.1,9,0.853,0.279,3,Sci-Fi|Thriller|Action
USR-00141,20.32,60.4,5,0.613,0.394,8,Thriller|Action|Sci-Fi|Family|Comedy|Animation|Documentary|Romance
USR-00142,28.47,81.9,5,0.676,0.541,8,Documentary|Family|Action|Comedy|Sci-Fi|Thriller|Animation|Drama
USR-00143,34.6,59.3,8,0.659,0.368,1,Romance
USR-00144,33.6,48.2,6,0.736,0.329,7,Documentary|Drama|Animation|Sci-Fi|Thriller|Family|Romance
USR-00145,24.28,80.5,7,0.514,0.398,6,Documentary|Thriller|Romance|Action|Comedy|Sci-Fi
USR-00146,12.88,32.8,6,0.7,0.697,3,Family|Animation|Comedy
USR-00147,11.93,19.4,4,0.455,0.675,4,Animation|Family|Drama|Comedy
USR-00148,24.8,52.3,9,0.598,0.308,5,Drama|Romance|Family|Animation|Comedy
USR-00149,5.33,20.1,2,0.715,0.697,3,Animation|Comedy|Drama
USR-00150,41.29,108.7,7,0.936,0.429,4,Sci-Fi|Thriller|Action
USR-00151,8.26,30.8,1,0.338,0.898,3,Comedy|Drama|Family
USR-00152,29.16,51.7,8,0.89,0.431,3,Thriller|Drama|Romance
USR-00153,40.52,90.7,13,0.826,0.303,2,Thriller|Sci-Fi
USR-00154,37.59,52.2,7,0.813,0.378,8,Romance|Drama|Animation|Comedy|Family|Documentary|Action|Sci-Fi
USR-00155,43.27,111.2,14,0.972,0.407,2,Action|Sci-Fi
USR-00156,2.28,38.4,3,0.368,0.836,1,Comedy
USR-00157,8.42,38.2,6,0.647,0.602,2,Family|Comedy
USR-00158,8.34,22.4,2,0.505,0.64,1,Comedy
USR-00159,2.07,52.8,1,0.374,0.663,3,Family|Drama|Comedy
USR-00160,4.98,25.5,3,0.7,0.709,1,Family
USR-00161,44.65,116.1,13,0.725,0.273,3,Thriller|Action|Sci-Fi
USR-00162,24.04,72.6,5,0.775,0.307,2,Thriller|Romance
USR-00163,14.17,16.7,4,0.679,0.469,2,Drama|Animation
USR-00164,54.0,107.4,7,0.945,0.277,4,Action|Sci-Fi|Thriller
USR-00165,25.94,42.7,8,0.629,0.326,7,Thriller|Sci-Fi|Comedy|Romance|Action|Animation|Family
USR-00166,15.03,24.5,3,0.788,0.533,4,Drama|Comedy|Animation|Family
USR-00167,4.86,44.4,2,0.483,0.582,3,Comedy|Drama|Family
USR-00168,7.76,37.8,1,0.648,0.77,3,Family|Drama|Comedy
USR-00169,15.95,36.7,2,0.645,0.426,2,Comedy|Family
USR-00170,25.14,59.4,7,0.752,0.461,1,Drama
USR-00171,6.22,37.2,5,0.52,0.452,5,Comedy|Family|Animation|Drama
USR-00172,26.15,53.5,9,0.755,0.263,5,Sci-Fi|Family|Romance|Action|Animation
USR-00173,11.32,25.9,4,0.564,0.533,4,Comedy|Animation|Family|Drama
USR-00174,19.34,69.2,9,0.704,0.356,1,Drama
USR-00175,38.49,108.2,13,0.957,0.257,3,Thriller|Sci-Fi|Action
USR-00176,36.61,83.1,10,0.759,0.29,4,Sci-Fi|Action|Thriller
USR-00177,12.55,24.4,3,0.499,0.5,5,Animation|Comedy|Drama|Family
USR-00178,27.65,53.5,5,0.671,0.468,1,
USR-00179,30.3,53.3,5,0.909,0.501,1,Drama
USR-00180,1.21,22.0,2,0.394,0.742,3,Drama|Comedy|Family
USR-00181,26.31,75.0,9,0.695,0.499,3,Romance|Thriller|Drama
USR-00182,33.07,83.3,9,0.729,0.376,3,Drama|Thriller|Romance
USR-00183,29.24,54.7,9,0.588,0.36,6,Thriller|Animation|Sci-Fi|Family|Action|Romance
USR-00184,8.09,18.8,6,0.453,0.367,3,Comedy|Family|Animation
USR-00185,7.73,22.5,3,0.602,0.676,2,Family|Comedy
USR-00186,9.92,29.0,2,0.376,0.593,2,Comedy|Drama
USR-00187,15.3,33.8,4,0.732,0.437,5,Family|Comedy|Drama|Animation
USR-00188,53.64,104.1,14,0.817,0.357,4,Sci-Fi|Action|Thriller
USR-00189,3.13,38.5,1,0.673,0.593,1,Family
USR-00190,14.95,17.4,2,0.765,0.604,2,Comedy|Family
USR-00191,28.74,87.9,4,0.866,0.426,3,Drama|Romance|Thriller
USR-00192,17.44,29.7,2,0.603,0.615,4,Animation|Drama|Family|Comedy
USR-00193,45.79,94.1,13,0.714,0.331,3,Action|Thriller|Sci-Fi
USR-00194,6.92,45.2,1,0.616,0.769,2,Drama|Comedy
USR-00195,37.02,83.7,11,0.848,0.425,3,Thriller|Sci-Fi|Action
USR-00196,39.43,106.7,11,0.932,0.369,4,Action|Sci-Fi|Thriller
USR-00197,37.28,72.5,7,0.682,0.36,6,Action|Animation|Drama|Comedy|Thriller|Sci-Fi
USR-00198,21.99,55.3,5,0.895,0.365,2,Romance|Thriller
USR-00199,37.22,100.4,13,0.969,0.33,2,Action|Sci-Fi
USR-00200,16.49,28.1,6,0.524,0.637,4,Family|Drama|Animation|Comedy
USR-00201,9.55,49.0,3,0.321,0.879,1,Comedy
USR-00202,27.05,82.1,9,0.789,0.376,3,Thriller|Romance|Drama
USR-00203,36.73,46.6,6,0.579,0.415,8,Family|Thriller|Sci-Fi|Action|Comedy|Animation|Drama|Romance
USR-00204,53.05,111.5,9,0.874,0.378,3,Sci-Fi|Action|Thriller
USR-00205,54.16,99.3,8,0.806,0.252,4,Sci-Fi|Thriller|Action
USR-00206,10.68,23.5,6,0.635,0.481,2,Family|Comedy
USR-00207,41.39,84.7,8,0.852,0.35,2,Thriller|Sci-Fi
USR-00208,3.57,44.2,3,0.405,0.712,1,Drama
USR-00209,47.35,103.9,7,0.909,0.353,4,Sci-Fi|Action|Thriller
USR-00210,22.0,69.5,5,0.848,0.255,7,Thriller|Romance|Documentary|Drama|Family|Sci-Fi|Comedy
USR-00211,2.1,52.4,2,0.634,0.577,1,Drama
USR-00212,20.08,60.0,6,0.617,0.3,5,Comedy|Action|Romance|Animation|Documentary
USR-00213,37.49,84.8,12,0.725,0.331,4,Action|Sci-Fi|Thriller
USR-00214,4.7,43.4,2,0.601,0.561,2,Drama|Family
USR-00215,3.09,43.3,2,0.44,0.86,3,Drama|Family|Comedy
USR-00216,3.44,37.3,3,0.379,0.851,2,Comedy|Drama
USR-00217,52.55,118.0,9,0.961,0.364,2,Action|Thriller
USR-00218,41.85,84.4,11,0.768,0.266,3,Action|Thriller|Sci-Fi
USR-00219,26.86,71.4,7,0.789,0.313,1,Thriller
USR-00220,7.58,32.9,6,0.651,0.652,5,Comedy|Drama|Animation|Family
USR-00221,15.38,31.6,2,0.798,0.497,5,Animation|Family|Comedy|Drama
USR-00222,38.54,57.7,7,0.537,0.318,7,Documentary|Action|Comedy|Romance|Family|Sci-Fi|Drama
USR-00223,1.63,40.1,3,0.487,0.765,2,Drama|Family
USR-00224,26.02,79.1,5,0.792,0.495,2,Thriller|Romance
USR-00225,15.41,36.3,3,0.504,0.554,4,Drama|Family|Comedy|Animation
USR-00226,22.34,75.6,8,0.935,0.364,1,Thriller
USR-00227,54.74,113.7,8,0.93,0.256,2,Thriller|Sci-Fi
USR-00228,33.78,64.0,10,0.636,0.494,7,Comedy|Documentary|Drama|Romance|Animation|Action|Family
USR-00229,24.95,51.2,9,0.801,0.318,5,Animation|Romance|Documentary|Drama|Thriller
USR-00230,51.15,87.8,11,0.815,0.284,2,Thriller|Sci-Fi
USR-00231,37.73,89.7,11,0.701,0.31,4,Thriller|Sci-Fi|Action
USR-00232,8.54,26.5,5,0.635,0.597,2,Comedy|Drama
USR-00233,32.35,58.7,4,0.879,0.358,2,Drama|Romance
USR-00234,23.73,62.4,10,0.579,0.467,5,Comedy|Documentary|Action|Sci-Fi|Animation
USR-00235,29.87,83.7,9,0.808,0.446,3,Thriller|Romance|Drama
USR-00236,1.65,53.1,1,0.478,0.786,1,Drama
USR-00237,39.82,47.3,6,0.811,0.265,8,Drama|Family|Sci-Fi|Documentary|Animation|Thriller|Comedy|Action
USR-00238,6.74,32.3,1,0.387,0.792,1,Drama
USR-00239,45.78,116.7,10,0.934,0.265,3,Sci-Fi|Thriller|Action
USR-00240,51.93,99.0,11,0.799,0.386,3,Action|Sci-Fi|Thriller
USR-00241,5.43,22.1,2,0.348,0.636,2,Comedy|Family
USR-00242,2.65,25.8,3,0.318,0.856,1,Drama
USR-00243,5.52,15.7,4,0.549,0.559,4,Animation|Comedy|Drama|Family
USR-00244,33.58,42.4,10,0.843,0.472,8,Family|Action|Documentary|Sci-Fi|Drama|Romance|Animation|Thriller
USR-00245,33.68,68.9,9,0.727,0.331,7,Comedy|Romance|Drama|Thriller|Animation|Action|Sci-Fi
USR-00246,27.99,61.6,7,0.88,0.363,1,Romance
USR-00247,28.63,76.7,7,0.612,0.477,6,Romance|Thriller|Sci-Fi|Comedy|Drama|Documentary
USR-00248,11.83,22.9,4,0.595,0.393,2,Drama|Animation
USR-00249,17.1,15.9,4,0.668,0.51,2,Animation|Comedy
USR-00250,6.54,20.4,2,0.59,0.535,3,Comedy|Family|Animation
USR-00251,5.95,31.5,1,0.519,0.628,2,Family|Comedy
USR-00252,19.84,56.3,5,0.944,0.435,1,Romance
USR-00253,39.73,44.0,8,0.841,0.311,8,Thriller|Action|Sci-Fi|Animation|Documentary|Romance|Drama|Comedy
USR-00254,17.58,16.4,4,0.649,0.597,5,Family|Animation|Comedy|Drama
USR-00255,10.93,18.9,6,0.749,0.362,2,Comedy|Drama
USR-00256,1.07,25.6,3,0.57,0.571,1,Comedy
USR-00257,7.16,40.6,2,0.579,0.758,2,Comedy|Family
USR-00258,52.64,103.3,11,0.832,0.314,4,Sci-Fi|Thriller|Action
USR-00259,54.73,81.1,7,0.928,0.284,3,Sci-Fi|Action|Thriller
USR-00260,35.97,83.1,6,0.806,0.296,5,Thriller|Animation|Drama|Romance|Documentary
USR-00261,38.14,70.6,9,0.956,0.409,2,Thriller|Sci-Fi
USR-00262,6.33,29.0,1,0.517,0.662,3,Family|Drama|Comedy
USR-00263,11.1,31.3,2,0.495,0.676,5,Family|Drama|Animation|Comedy
USR-00264,49.32,113.8,12,0.872,0.306,4,Sci-Fi|Action|Thriller
USR-00265,22.1,53.0,4,0.815,0.298,1,Romance
USR-00266,50.82,111.1,8,0.854,0.363,2,Action|Thriller
USR-00267,7.73,39.5,5,0.484,0.64,4,Family|Comedy|Drama|Animation
USR-00268,50.49,99.5,7,0.731,0.266,4,Thriller|Sci-Fi|Action
USR-00269,50.24,104.9,14,0.778,0.392,4,Sci-Fi|Thriller|Action
USR-00270,39.69,89.7,9,0.908,0.345,2,Action|Thriller
USR-00271,37.83,83.3,13,0.869,0.326,4,Sci-Fi|Action|Thriller
USR-00272,40.08,81.5,8,0.898,0.374,4,Thriller|Sci-Fi|Action
USR-00273,47.71,89.0,8,0.914,0.339,4,Sci-Fi|Thriller|Action
USR-00274,29.22,68.9,9,0.587,0.516,8,Romance|Comedy|Sci-Fi|Action|Animation|Drama|Family|Documentary
USR-00275,3.43,40.9,1,0.477,0.636,1,Drama
USR-00276,9.86,26.2,6,0.514,0.606,3,Family|Animation|Comedy
USR-00277,15.6,33.1,6,0.754,0.667,4,Family|Drama|Animation|Comedy
USR-00278,24.44,45.1,6,0.731,0.484,8,Drama|Animation|Thriller|Family|Comedy|Documentary|Romance|Sci-Fi
USR-00279,32.45,98.2,4,0.664,0.275,2,Drama|Romance
USR-00280,20.89,97.7,5,0.709,0.538,3,Thriller|Drama|Romance
USR-00281,41.63,102.3,12,0.752,0.438,2,Sci-Fi|Action
USR-00282,49.22,102.8,7,0.877,0.282,3,Thriller|Action|Sci-Fi
USR-00283,8.55,19.1,6,0.566,0.509,3,Drama|Family|Comedy
USR-00284,6.68,32.2,4,0.78,0.499,2,Family|Drama
USR-00285,20.86,72.5,8,0.795,0.267,8,Animation|Sci-Fi|Drama|Comedy|Romance|Action|Family|Thriller
USR-00286,14.56,32.8,5,0.75,0.414,3,Drama|Family|Comedy
USR-00287,37.48,79.3,10,0.72,0.261,2,Sci-Fi|Thriller
USR-00288,17.77,39.1,3,0.5,0.6,2,Animation|Comedy
USR-00289,21.92,48.5,8,0.711,0.546,5,Sci-Fi|Drama|Thriller|Family|Animation
USR-00290,52.34,88.2,7,0.701,0.351,3,Sci-Fi|Thriller|Action
USR-00291,2.56,22.0,2,0.332,0.804,1,Drama
USR-00292,37.87,84.4,9,0.708,0.361,2,Sci-Fi|Action
USR-00293,24.6,77.8,7,0.678,0.296,2,Romance|Thriller
USR-00294,53.45,115.8,12,0.96,0.333,3,Thriller|Sci-Fi|Action
USR-00295,1.99,23.3,2,0.581,0.827,2,Comedy|Drama
USR-00296,30.71,67.7,4,0.654,0.334,1,Drama
USR-00297,22.66,90.6,4,0.859,0.292,3,Drama|Romance|Thriller
USR-00298,2.75,42.7,2,0.476,0.589,2,Comedy|Family
USR-00299,2.48,24.6,1,0.682,0.65,1,Comedy
USR-00300,26.44,80.4,10,0.822,0.34,7,Family|Action|Animation|Drama|Comedy|Sci-Fi|Documentary
USR-00301,5.98,29.5,3,0.496,0.563,1,Drama
USR-00302,37.03,85.4,9,0.712,0.266,3,Thriller|Sci-Fi|Action
USR-00303,29.54,55.2,5,0.566,0.479,5,Comedy|Thriller|Documentary|Sci-Fi|Animation
USR-00304,34.2,71.7,8,0.787,0.395,6,Action|Documentary|Sci-Fi|Comedy|Thriller|Romance
USR-00305,19.6,59.5,9,0.839,0.376,2,Thriller|Drama
USR-00306,27.05,72.4,7,0.703,0.397,5,Documentary|Comedy|Romance|Action|Animation
USR-00307,5.34,38.6,4,0.54,0.7,3,Animation|Drama|Comedy
USR-00308,20.51,67.0,5,0.525,0.53,8,Documentary|Drama|Family|Animation|Romance|Sci-Fi|Comedy|Thriller
USR-00309,9.05,15.3,6,0.698,0.63,3,Animation|Drama|Comedy
USR-00310,51.98,95.3,10,0.762,0.439,3,Thriller|Sci-Fi|Action
USR-00311,27.33,55.8,6,0.684,0.515,8,Romance|Sci-Fi|Documentary|Drama|Family|Action|Animation|Comedy
USR-00312,15.34,29.7,6,0.587,0.362,5,Animation|Drama|Family|Comedy
USR-00313,11.44,23.9,4,0.618,0.587,4,Family|Drama|Comedy|Animation
USR-00314,12.61,29.9,2,0.566,0.593,3,Animation|Family|Comedy
USR-00315,16.61,15.9,4,0.749,0.407,3,Family|Animation|Drama
USR-00316,16.9,26.4,3,0.55,0.653,5,Family|Comedy|Animation|Drama
USR-00317,13.91,28.7,6,0.604,0.444,5,Family|Animation|Comedy|Drama
USR-00318,1.26,45.9,3,0.33,0.589,3,Family|Drama|Comedy
USR-00319,5.89,35.9,4,0.768,0.657,4,Family|Comedy|Animation|Drama
USR-00320,26.6,55.0,8,0.69,0.403,2,Drama|Romance
USR-00321,21.95,81.0,5,0.886,0.267,1,Thriller
USR-00322,37.22,55.4,6,0.641,0.296,7,Action|Thriller|Comedy|Documentary|Romance|Drama|Animation
USR-00323,17.8,21.2,4,0.477,0.547,5,Drama|Family|Comedy|Animation
USR-00324,25.28,48.5,8,0.514,0.359,5,Action|Comedy|Family|Romance|Documentary
USR-00325,8.39,44.2,3,0.3,0.562,2,Family|Drama
USR-00326,9.44,51.6,3,0.308,0.827,1,Comedy
USR-00327,8.11,20.2,2,0.601,0.828,1,Family
USR-00328,26.03,54.0,8,0.838,0.382,7,Thriller|Documentary|Drama|Sci-Fi|Family|Comedy|Romance
USR-00329,38.64,65.4,6,0.747,0.501,6,Drama|Thriller|Sci-Fi|Romance|Family|Comedy
USR-00330,11.48,29.7,3,0.451,0.65,4,Animation|Comedy|Family|Drama
USR-00331,7.82,33.7,3,0.642,0.695,3,Drama|Comedy|Family
USR-00332,14.34,29.2,5,0.624,0.633,4,Comedy|Animation|Family|Drama
USR-00333,9.89,54.0,3,0.668,0.814,3,Comedy|Drama|Family
USR-00334,31.01,76.0,7,0.91,0.283,2,Drama|Thriller
USR-00335,43.65,75.4,14,0.935,0.347,2,Action|Sci-Fi
USR-00336,29.47,47.4,5,0.747,0.489,7,Action|Thriller|Comedy|Animation|Sci-Fi|Documentary|Family
USR-00337,39.5,86.5,12,0.834,0.45,3,Sci-Fi|Thriller|Action
USR-00338,8.77,39.4,1,0.508,0.652,2,Family|Drama
USR-00339,53.52,101.1,10,0.844,0.392,3,Action|Thriller|Sci-Fi
USR-00340,34.55,90.6,5,0.908,0.395,2,Drama|Romance
USR-00341,50.24,77.0,8,0.825,0.314,2,Sci-Fi|Thriller
USR-00342,22.36,87.3,8,0.672,0.48,2,Thriller|Romance
